bug_id,defect_method,method_name,method_uid,report_count,unique_position_count,position_duplicate_extra,exact_duplicate_extra,positions,gt_method_hit
1187,request,requestViaSocket,com.taobao.arthas.core.util.NetUtils.requestViaSocket(String),3,3,0,0,124|125|131,0
1239,restoreMultiLayerNetwork,restoreMultiLayerNetwork,"org.deeplearning4j.util.ModelSerializer.restoreMultiLayerNetwork(InputStream,boolean)",3,6,0,0,257|275|301|472|490|517,1
1240,writeModel,addObjectToFile,"org.deeplearning4j.util.ModelSerializer.addObjectToFile(File,String,Object)",3,4,0,0,720|722|730|742,0
1240,writeModel,restoreMultiLayerNetworkHelper,"org.deeplearning4j.util.ModelSerializer.restoreMultiLayerNetworkHelper(InputStream,boolean)",3,6,0,0,262|280|306|486|504|531,0
1523,getWmicResult,getWmicResult,"com.sun.servicetag.WindowsSystemEnvironment.getWmicResult(String,String,String)",3,5,0,0,106|107|110|111|118,1
33,run,run,tachyon.master.RecomputeCommand.run(),2,4,0,0,39|41|44|45,1
36,retrieveByteBufferFromRemoteMachine,recache,tachyon.client.TachyonFile.recache(int),2,2,0,0,420|428,0
53,getYarnDeployDependencies,launchApp,org.apache.beam.runners.apex.ApexYarnLauncher.launchApp(LaunchParams),2,3,0,0,130|133|135,0
55,createJar,launchApp,org.apache.beam.runners.apex.ApexYarnLauncher.launchApp(LaunchParams),2,3,0,0,130|133|135,0
56,visitFile,launchApp,org.apache.beam.runners.apex.ApexYarnLauncher.launchApp(LaunchParams),2,3,0,0,130|133|135,0
63,run,run,streamer.debug.MockServer.run(),2,3,0,0,63|68|69,1
80,runScript,runScript,"org.apache.dolphinscheduler.common.utils.ScriptRunner.runScript(Connection,Reader)",2,3,0,0,142|164|178,1
80,runScript,runScript,"org.apache.dolphinscheduler.common.utils.ScriptRunner.runScript(Connection,Reader,String)",2,3,0,0,224|246|262,1
180,main,main,org.egothor.stemmer.Compile.main(String),2,3,0,0,127|183|184,1
186,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,createTempContextXml,"org.netbeans.modules.tomcat5.deploy.TomcatManagerImpl.createTempContextXml(String,Context)",2,2,0,0,352|358,0
187,execute,generateMissingQuestions,"org.netbeans.nbbuild.Arch.generateMissingQuestions(String,SortedSet)",2,2,0,0,520|542,0
217,main,main,io.apiman.tools.jdbc.ApimanJdbcServer.main(String),2,2,0,0,50|76,1
229,createAppLoaderImportZip,createAppLoaderImportZip,com.axelor.studio.service.ImportService.createAppLoaderImportZip(String),2,2,0,0,286|291,1
230,downloadZip,downloadZip,com.axelor.apps.base.service.imports.ImportCityServiceImpl.downloadZip(String),2,3,0,0,203|212|223,1
234,getSecondaryServicePrincipalClientID,cmdInvocation,"com.azure.management.samples.Utils.cmdInvocation(String,boolean)",2,2,0,0,1422|1428,0
240,pushUpload,openSSHTermOnSystem,"com.keybox.manage.util.SSHUtil.openSSHTermOnSystem(String,String,Long,Long,HostSystem,Map)",2,3,0,0,460|476|493,0
254,postQuery,postQuery,org.biojava.nbio.structure.rcsb.PdbIdLists.postQuery(String),2,2,0,0,194|202,1
263,removeSkippedMergeComponents,loadProperties,org.broadleafcommerce.common.extensibility.context.merge.MergeManager.loadProperties(),2,2,0,0,322|327,0
264,loadProperties,extractResource,"org.bytedeco.javacpp.Loader.extractResource(URL,File,String,String)",2,2,0,0,300|302,0
277,init,init,com.continuuity.common.classloader.JarResources.init(),2,4,0,0,51|62|63|64,1
310,request,requestViaSocket,com.taobao.arthas.core.util.NetUtils.requestViaSocket(String),2,3,0,0,124|125|131,0
330,onCommand,onEnable,com.scarsz.discordsrv.DiscordSRV.onEnable(),2,3,0,0,108|113|152,0
330,onCommand,requestHttp,com.scarsz.discordsrv.DiscordSRV.requestHttp(String),2,2,0,0,495|500,0
332,silentCloseChannel,sendrecv,"org.xbill.DNS.NioUdpClient.sendrecv(InetSocketAddress,InetSocketAddress,byte,int,Duration)",2,3,0,0,150|153|190,0
333,findResolvConf,findResolvConf,org.xbill.DNS.ResolverConfig.findResolvConf(String),2,3,0,0,216|221|222,1
342,transform,transform,"org.jcp.xml.dsig.internal.dom.DOMReference.transform(Data,XMLCryptoContext)",2,2,0,0,451|539,1
359,run,run,java.util.Currency.run(),2,2,0,0,198|236,1
360,createFont,run,java.awt.Font.run(),2,2,0,0,832|835,0
362,getWmicResult,getWmicResult,"com.sun.servicetag.WindowsSystemEnvironment.getWmicResult(String,String,String)",2,4,0,0,106|107|110|111,1
367,main,main,org.dspace.storage.rdbms.DatabaseUtils.main(String),2,3,0,0,96|113|219,1
383,copyFilesToFatJar,copyFilesToFatJar,"org.eclipse.jkube.springboot.generator.SpringBootGenerator.copyFilesToFatJar(List,List,File)",2,3,0,0,169|176|177,1
386,internalStart,internalStart,org.ehcache.impl.persistence.DefaultLocalPersistenceService.internalStart(),2,2,0,0,123|124,1
402,add,recoverFromFiles,"org.elasticsearch.index.translog.Translog.recoverFromFiles(TranslogGeneration,Checkpoint)",2,2,0,0,192|202,0
414,releaseLock,obtainLock,"org.logstash.FileLockFactory.obtainLock(String,String)",2,2,0,0,84|85,0
418,sendPost,sendPost,org.ethereum.net.shh.JsonRpcWhisper.sendPost(String),2,2,0,0,173|182,1
422,writeInheritanceTree,readJDKData,org.evosuite.setup.InheritanceTreeGenerator.readJDKData(),2,2,0,0,441|452,0
429,run,run,com.martiansoftware.nailgun.NGSession.run(),2,5,0,0,189|190|245|246|247,1
441,write,write,"org.geoserver.geopkg.GeoPackageGetFeatureOutputFormat.write(FeatureCollectionResponse,OutputStream,Operation)",2,2,0,0,75|105,1
463,parsedTemplateForResource,arsedTemplateForResource(,com.google.auto.value.processor.emplateVars .arsedTemplateForResource((tring),2,2,0,0,100|105,0
465,initPlugins,findArchivedSource,com.google.devtools.j2objc.J2ObjC.findArchivedSource(String),2,2,0,0,476|486,0
480,process,process,"org.h2.tools.CreateCluster.process(String,String,String,String,String)",2,3,0,0,114|117|158,1
507,main,main,freenet.tools.CleanupTranslations.main(String),2,5,0,0,29|30|31|67|68,1
515,horribleEvilHack,handleDownload,"freenet.clients.http.FProxyToadlet.handleDownload(ToadletContext,Bucket,BucketFactory,String,String,String,boolean,String,FreenetURI,String,String)",2,2,0,0,155|200,0
521,getPartAsString,parseMultiPartData,freenet.clients.http.HTTPRequestImpl.parseMultiPartData(),2,7,0,0,411|412|413|475|476|539|540,0
525,paddedCopy,split,"freenet.support.BucketTools.split(Bucket,int,BucketFactory)",2,3,0,0,394|395|404,0
528,cpdir,xec(,ackage brut.util.S .xec((tring),2,2,0,0,91|95,0
528,cpdir,xecAndReturn(,ackage brut.util.S .xecAndReturn((tring),2,2,0,0,111|115,0
539,getFiles,extract,spoon.support.compiler.ZipFolder.extract(File),2,2,0,0,180|195,0
548,BundleSpiProvidersLoader.call,getPackageResources,"org.glassfish.jersey.internal.OsgiRegistry.getPackageResources(String,ClassLoader)",2,2,0,0,321|328,0
556,extract,extract,"org.jbake.app.ZipUtil.extract(InputStream,File)",2,2,0,0,26|40,1
566,locate,locate,"org.skife.jdbi.v2.ClasspathStatementLocator.locate(String,StatementContext)",2,3,0,0,69|72|78,1
580,close,getUndoBlock,com.google.bitcoin.store.H2FullPrunedBlockStore.getUndoBlock(Sha256Hash),2,2,0,0,530|552,0
581,encodeTo,encodeToBytes,hudson.console.ConsoleNote.encodeToBytes(),2,2,0,0,174|180,0
581,encodeTo,readFrom,hudson.console.ConsoleNote.readFrom(DataInputStream),2,2,0,0,211|222,0
585,createTextTempFile,installIfNecessaryFrom,"hudson.FilePath.installIfNecessaryFrom(URL,TaskListener,String)",2,2,0,0,695|745,0
597,doDumpExportTable,doConfigDotXml,"hudson.model.Computer.doConfigDotXml(StaplerRequest,StaplerResponse)",2,2,0,0,1454|1459,0
597,doDumpExportTable,startFlyWeightTask,hudson.model.Computer.startFlyWeightTask(WorkUnit),2,2,0,0,1254|1255,0
618,write,getFileStream,"com.sun.media.sound.AiffFileWriter.getFileStream(AiffFileFormat,InputStream)",2,2,0,0,347|387,0
618,write,write,"com.sun.media.sound.AiffFileWriter.write(AudioInputStream,Type,File)",2,3,0,0,116|117|138,1
637,exec,exec,jline.internal.TerminalLineSettings.exec(String),2,3,0,0,114|117|123,1
639,compile,compile,"org.joda.time.tz.ZoneInfoCompiler.compile(File,File)",2,4,0,0,369|408|443|444,1
655,request,request,"com.qcloud.cmq.CMQHttp.request(String,String,String,int)",2,2,0,0,76|87,1
662,installFramework,nstallFramework(,"ackage brut.androlib.res.ramework .nstallFramework((ile,tring)",2,3,0,0,56|63|74,0
685,copyEntriesToCategories,copyEntriesToCategories,com.liferay.portal.upgrade.v5_3_0.UpgradeAsset.copyEntriesToCategories(long),2,2,0,0,169|176,1
694,extract,extract,"liquibase.commandline.CommandLineMigrator.extract(JarFile,JarEntry)",2,3,0,0,463|465|466,1
695,writeChangeLog,writeChangeLog,liquibase.dbdoc.ChangeLogWriter.writeChangeLog(DatabaseChangeLog),2,2,0,0,22|41,1
702,writeToBinaryFile,writeToTextFile,"marytts.util.io.FileUtils.writeToTextFile(double,String)",2,2,0,0,193|201,0
710,describeParameterEncryption,createEnclaveSession,"com.microsoft.sqlserver.jdbc.SQLServerAASEnclaveProvider.createEnclaveSession(SQLServerConnection,String,String,Parameter,ArrayList)",2,2,0,0,72|79,0
711,getAttestationCertificates,createEnclaveSession,"com.microsoft.sqlserver.jdbc.SQLServerVSMEnclaveProvider.createEnclaveSession(SQLServerConnection,String,String,Parameter,ArrayList)",2,2,0,0,64|72,0
743,onStop,call,com.mirth.connect.connectors.tcp.TcpReceiver.TcpReader.call(),2,2,0,0,298|310,0
759,buildCategoryDataSet,createGraphReturnDetails,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraphReturnDetails(String,File)",2,2,0,0,479|491,0
761,buildCategoryDataSet,createGraphReturnDetails,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraphReturnDetails(String,File)",2,2,0,0,479|491,0
763,buildCategoryDataSet,createGraphReturnDetails,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraphReturnDetails(String,File)",2,2,0,0,479|491,0
766,connectStreams,createWriter,org.elasticsearch.index.engine.internal.InternalEngine.createWriter(),2,2,0,0,1318|1360,0
771,downloadReplicationFile,getServerTimestamp,org.openstreetmap.osmosis.replication.v0_6.IntervalDownloader.getServerTimestamp(URL),2,2,0,0,111|116,0
798,defaultHook,defaultHook,com.orientechnologies.security.auditing.ODefaultAuditing.defaultHook(ODatabaseInternal),2,3,0,0,133|144|266,1
822,stopServer,stopServer,org.apache.catalina.startup.Catalina.stopServer(),2,4,0,0,415|434|435|488,1
825,expandCGIScript,expandCGIScript,org.apache.catalina.servlets.CGIServlet.CGIEnvironment.expandCGIScript(),2,2,0,0,1186|1240,1
825,expandCGIScript,run,org.apache.catalina.servlets.CGIServlet.CGIRunner.run(),2,3,0,0,1722|1735|1736,0
848,copyStream,copyResponse,"play.server.ServletWrapper.copyResponse(Request,Response,HttpServletRequest,HttpServletResponse)",2,2,0,0,489|499,0
854,getConvertedValue,getConvertedValue,"org.primefaces.component.imagecropper.ImageCropperRenderer.getConvertedValue(FacesContext,UIComponent,Object)",2,4,0,0,163|172|179|185,1
857,handle,handle,io.prometheus.client.exporter.HTTPServer.HTTPMetricHandler.handle(HttpExchange),2,2,0,0,65|82,1
874,main,main,uk.co.real_logic.sbe.examples.SbeExample.main(String),2,2,0,0,67|74,1
877,find,find,"org.jboss.resteasy.spi.FactoryFinder.find(String,String)",2,4,0,0,112|116|138|162,1
879,getAssetInfo,rememberLocalImageReference,net.rptools.maptool.model.AssetManager.rememberLocalImageReference(File),2,2,0,0,564|581,0
881,putFile,getFileAsReader,net.rptools.lib.io.PackedFile.getFileAsReader(String),2,2,0,0,578|584,0
883,restoreFiles,restoreFiles,br.org.scadabr.vo.exporter.ZIPProjectManager.restoreFiles(List),2,3,0,0,173|195|363,1
904,unzip,unzip,free.rm.skytube.gui.businessobjects.preferences.ZipFile.unzip(File),2,3,0,0,70|71|90,1
917,printApk,printApk,"soot.toDex.DexPrinter.printApk(String,File)",2,3,0,0,171|175|180,1
928,writeLoaderClasses,writeLoaderClasses,org.springframework.boot.loader.tools.JarWriter.writeLoaderClasses(String),2,3,0,0,218|219|224,1
930,redirectOutput,run,"org.springframework.boot.loader.tools.RunProcess.run(boolean,Collection)",2,2,0,0,79|85,0
948,initializeAndRunCoref,getConllEvalSummary,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.getConllEvalSummary(String,String,String)",2,2,0,0,1084|1085,0
948,initializeAndRunCoref,runConllEval,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.runConllEval(String,String,String,String,String)",2,3,0,0,1074|1075|1076,0
949,readObjectFromFile,findStreamInClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.findStreamInClasspathOrFileSystem(String),2,3,0,0,419|422|430,0
949,readObjectFromFile,getInputStreamFromURLOrClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.getInputStreamFromURLOrClasspathOrFileSystem(String),2,3,0,0,469|470|491,0
949,readObjectFromFile,slurpURL,"edu.stanford.nlp.io.IOUtils.slurpURL(URL,String)",2,3,0,0,1206|1210|1216,0
949,readObjectFromFile,writeStringToTempFile,"edu.stanford.nlp.io.IOUtils.writeStringToTempFile(String,String,String)",2,3,0,0,204|206|208,0
950,readObjectFromURLOrClasspathOrFileSystem,findStreamInClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.findStreamInClasspathOrFileSystem(String),2,3,0,0,419|422|430,0
950,readObjectFromURLOrClasspathOrFileSystem,getInputStreamFromURLOrClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.getInputStreamFromURLOrClasspathOrFileSystem(String),2,3,0,0,469|470|491,0
950,readObjectFromURLOrClasspathOrFileSystem,slurpURL,"edu.stanford.nlp.io.IOUtils.slurpURL(URL,String)",2,3,0,0,1206|1210|1216,0
950,readObjectFromURLOrClasspathOrFileSystem,writeStringToTempFile,"edu.stanford.nlp.io.IOUtils.writeStringToTempFile(String,String,String)",2,3,0,0,204|206|208,0
951,slurpURL,findStreamInClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.findStreamInClasspathOrFileSystem(String),2,3,0,0,419|422|430,0
951,slurpURL,getInputStreamFromURLOrClasspathOrFileSystem,edu.stanford.nlp.io.IOUtils.getInputStreamFromURLOrClasspathOrFileSystem(String),2,2,0,0,469|491,0
951,slurpURL,slurpURL,"edu.stanford.nlp.io.IOUtils.slurpURL(URL,String)",2,3,0,0,1206|1210|1216,1
951,slurpURL,writeStringToTempFile,"edu.stanford.nlp.io.IOUtils.writeStringToTempFile(String,String,String)",2,3,0,0,204|206|208,0
952,initializeAndRunCoref,getConllEvalSummary,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.getConllEvalSummary(String,String,String)",2,2,0,0,1084|1085,0
952,initializeAndRunCoref,runConllEval,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.runConllEval(String,String,String,String,String)",2,3,0,0,1074|1075|1076,0
953,run,run,edu.stanford.nlp.ie.NERServer.run(),2,2,0,0,93|98,1
978,run,run,org.java_websocket.client.WebSocketClient.run(),2,3,0,0,237|260|261,1
995,executeCommandAndGetResults,executeCommandAndGetResults,games.strategy.net.MacFinder.executeCommandAndGetResults(String),2,3,0,0,165|168|178,1
997,calculate,calculate,tools.image.AutoPlacementFinder.calculate(),2,3,0,0,101|102|237,1
1001,main,main,tools.image.XmlUpdater.main(String),2,2,0,0,32|52,1
1002,main,main,tools.map.making.ConnectionFinder.main(String),2,2,0,0,88|188,1
1009,writeImpl,writeImpl,"org.checkerframework.common.wholeprograminference.SceneToStubWriter.writeImpl(ASceneWrapper,String,BaseTypeChecker)",2,3,0,0,737|738|746,1
1015,outputArgumentsToFile,outputArgumentsToFile,"org.checkerframework.framework.util.CheckerMain.outputArgumentsToFile(String,List)",2,3,0,0,582|583|597,1
1017,buildLookup,buildLookup,org.checkerframework.checker.i18nformatter.I18nFormatterAnnotatedTypeFactory.buildLookup(),2,2,0,0,105|111,1
1019,uApks,uApks,"com.tyron.builder.compiler.aab.AabTask.uApks(String,String)",2,3,0,0,121|122|130,1
1019,uApks,unzip,"com.tyron.builder.compiler.aab.AabTask.unzip(String,String)",2,3,0,0,303|304|312,0
1038,sendUploadResponse,doHandleSimpleMultipartFileUpload,"com.vaadin.server.communication.FileUploadHandler.doHandleSimpleMultipartFileUpload(VaadinSession,VaadinRequest,VaadinResponse,StreamVariable,String,ClientConnector,String)",2,2,0,0,348|396,0
1045,main,main,nu.validator.client.HttpClient.main(String),2,4,0,0,82|85|99|107,1
1067,getScriptFromUrl,getScriptFromUrl,"com.ibm.wala.cast.js.html.DomLessSourceExtractor.HtmlCallback.getScriptFromUrl(String,ITag)",2,2,0,0,256|263,1
1072,execute,execute,com.github.wvengen.maven.proguard.ProGuardMojo.execute(),2,3,0,0,725|813|816,1
1114,getInputStream,getInputStream,org.apache.zookeeper.server.persistence.SnapStream.getInputStream(File),2,2,0,0,103|110,1
1116,QuorumPeerInstance,configure,org.apache.zookeeper.test.system.QuorumPeerInstance.configure(String),2,2,0,0,104|193,0
1125,download,getConfigFileInputStream,backtype.storm.utils.Utils.getConfigFileInputStream(String),2,2,0,0,245|255,0
1130,read,write,"org.apache.nifi.controller.repository.FileSystemRepository.write(ContentClaim,boolean)",2,2,0,0,855|867,0
1131,getInputStream,append,"org.apache.nifi.controller.repository.StandardProcessSession.append(FlowFile,OutputStreamCallback)",2,4,0,0,1952|2007|2009|2020,0
1134,echoRequestCmd,sendCommand,"org.apache.nifi.minifi.bootstrap.BootstrapListener.sendCommand(String,String)",2,2,0,0,128|133,0
1140,testMultipleScannableTableFunctionWithNamedParameters,testTableFunction,org.apache.calcite.test.TableFunctionTest.testTableFunction(),2,2,0,0,91|99,0
1140,testMultipleScannableTableFunctionWithNamedParameters,testTableFunctionCursorInputs,org.apache.calcite.test.TableFunctionTest.testTableFunctionCursorInputs(),2,3,0,0,268|279|285,0
1144,filterReachable,downloadUrl,"org.apache.ignite.internal.util.IgniteUtils.downloadUrl(URL,File)",2,3,0,0,2221|2236|2241,0
1144,filterReachable,unzip,"org.apache.ignite.internal.util.IgniteUtils.unzip(File,File,IgniteLogger)",2,2,0,0,6152|6173,0
1147,checkAndLoadCache,checkAndLoadCache,org.apache.karaf.features.internal.repository.UrlLoader.checkAndLoadCache(),2,3,0,0,58|60|89,1
1150,configureLog4J,main,org.apache.pig.Main.main(String),2,3,0,0,296|334|359,0
1169,runKeyTool,runKeyTool,"org.opends.server.util.CertificateManager.runKeyTool(String,String,String,boolean)",2,4,0,0,757|762|763|764,1
1171,convertCharset,convertCharset,org.dita.dost.util.ConvertLang.convertCharset(File),2,12,0,0,473|475|477|483|485|487|693|695|699|705|711|715,1
1173,generateScheme,execute,org.dita.dost.module.DebugAndFilterModule.execute(AbstractPipelineInput),2,3,0,0,121|131|134,0
1181,isZipFile,writeToBinarayFile,"org.sf.feeling.decompiler.util.FileUtil.writeToBinarayFile(File,InputStream,boolean)",2,3,0,0,119|137|235,0
1181,isZipFile,zipDir,"org.sf.feeling.decompiler.util.FileUtil.zipDir(File,String,String)",2,2,0,0,881|903,0
1181,isZipFile,zipFile,"org.sf.feeling.decompiler.util.FileUtil.zipFile(File,String)",2,2,0,0,835|851,0
1188,postBody,postBody,"com.xxl.job.core.util.XxlJobRemotingUtil.postBody(String,String,int,Object,Class)",2,2,0,0,105|125,1
1204,loadJSON,loadJSON,org.openqa.grid.common.JSONConfigurationUtils.loadJSON(String),2,4,0,0,42|46|55|56,1
1215,assembleSmaliFile,sembleSmaliFile(F,"ackage brut.androlib.mod.aliMod {.sembleSmaliFile(F(les,xBuilderd,oleanv,oleanp)",2,4,0,0,59|60|64|90,0
1217,assembleSmaliFile,sembleSmaliFile(F,"ackage brut.androlib.mod.aliMod {.sembleSmaliFile(F(les,xBuilderd,oleanv,oleanp)",2,4,0,0,59|60|64|90,0
1218,installFramework,nstallFramework(,"ackage brut.androlib.res.ramework .nstallFramework((ile,tring)",2,3,0,0,56|63|74,0
1239,restoreMultiLayerNetwork,writeModel,"org.deeplearning4j.util.ModelSerializer.writeModel(Model,OutputStream,boolean,DataNormalization)",2,2,0,0,138|155,0
1240,writeModel,writeModel,"org.deeplearning4j.util.ModelSerializer.writeModel(Model,OutputStream,boolean,DataNormalization)",2,2,0,0,136|153,1
1241,downloadFile,downloadFile,cc.arduino.utils.network.FileDownloader.downloadFile(),2,2,0,0,148|199,1
1256,initializeAndRunCoref,getConllEvalSummary,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.getConllEvalSummary(String,String,String)",2,2,0,0,1052|1053,0
1256,initializeAndRunCoref,runConllEval,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.runConllEval(String,String,String,String,String)",2,3,0,0,1042|1043|1044,0
1260,tail,slurpURL,"edu.stanford.nlp.io.IOUtils.slurpURL(URL,String)",2,3,0,0,1157|1161|1167,0
1260,tail,writeStringToTempFile,"edu.stanford.nlp.io.IOUtils.writeStringToTempFile(String,String,String)",2,3,0,0,205|207|209,0
1263,loadExistingFile,loadExistingFile,org.apache.jmeter.reporters.ResultCollector.loadExistingFile(),2,2,0,0,374|387,1
1273,executeSchemaResource,executeSchemaResource,"org.flowable.common.engine.impl.db.AbstractSqlScriptBasedDbSchemaManager.executeSchemaResource(String,String,String,InputStream)",2,2,0,0,274|321,1
1300,prepareNextOutputFile,prepareNextOutputFile,org.pentaho.di.trans.steps.excelwriter.ExcelWriterStep.prepareNextOutputFile(),2,3,0,0,648|662|664,1
1340,serialize,serialize,"org.codehaus.groovy.control.XStreamUtils.serialize(String,Object)",2,2,0,0,33|41,1
1381,getValidationStatuses,getValidationStatuses,"azkaban.project.JdbcDependencyManager.getValidationStatuses(Set,String)",2,2,0,0,60|75,1
1403,execute,boot,com.zendesk.maxwell.MysqlIsolatedServer.boot(String),2,3,0,0,57|77|78,0
1407,extractNativeLib,extractNativeLib,"com.jme3.system.Natives.extractNativeLib(String,String,boolean,boolean)",2,3,0,0,139|140|157,1
1416,request,request,"ch.cyberduck.core.gdocs.GDSession.CustomTrustGoogleAuthTokenFactory.request(URL,Map)",2,2,0,0,417|467,1
1443,createManager,createManager,"org.apache.logging.log4j.core.appender.rolling.RollingRandomAccessFileManager.RollingRandomAccessFileManagerFactory.createManager(String,FactoryData)",2,2,0,0,153|159,1
1452,sendXMPP,sendXMPP,"org.openhab.action.xmpp.internal.XMPP.sendXMPP(String,String,String)",2,2,0,0,102|131,1
1461,run,parseEmbedded,"org.apache.tika.cli.TikaCLI.FileEmbeddedDocumentExtractor.parseEmbedded(InputStream,ContentHandler,Metadata,boolean)",2,2,0,0,744|750,0
1467,close,saveByte,org.apache.tika.utils.RereadableInputStream.saveByte(int),2,2,0,0,248|250,0
1487,writeClass,outputDava,soot.PackManager.outputDava(),2,3,0,0,741|744|787,0
1487,writeClass,writeClass,soot.PackManager.writeClass(SootClass),2,4,0,0,988|991|996|1025,1
