bug_id,cat,report_count,extra,defect_method,bug_file,source_method_count,source_methods,source_lines,leak_roots,source_symbols,source_origins,source_confidence
240,C,7,6,pushUpload,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-240.java,3,addPubKey|openSSHTermOnSystem|pushUpload,302|344|345|346|460|476|487,addPubKey|openSSHTermOnSystem|pushUpload,bufferedreader|fileinputstream|getinputstream|getoutputstream|getsession|inputstreamreader,factory|new,high|medium
843,D,7,6,copyToFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-843.java,3,copyToStream|readSvg|readText,125|130|131|136|137|156|161,copyToStream|readSvg|readText,bufferedinputstream|bufferedoutputstream|bufferedreader,new,high
530,C,6,5,installPlugin,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-530.java,5,getElementValue|installPlugin|loadPlugin|start|unzipPlugin,120|180|288|876|1101|1119,getElementValue|installPlugin|loadPlugin|start|unzipPlugin,fileoutputstream|jarfile|saxreader|scheduledthreadpoolexecutor,new,high
1182,C,6,5,addFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1182.java,5,addFile|addJarEntry|addZipEntry|processJarFile|writeModuleSrcZipToOverallSrcZip,349|418|778|812|874|904,addFile|addJarEntry|addZipEntry|processJarFile|writeModuleSrcZipToOverallSrcZip,fileinputstream|getinputstream|jarfile|zipfile,factory|new,high
1512,C,6,5,writeRextToFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1512.java,5,ex1|ex2|ex4|ex6|writeRextToFile,44|65|114|119|151|193,ex1|ex2|ex4|ex6|writeRextToFile,bufferedreader|bufferedwriter|lines|scanner,factory|new,high|medium
55,C,6,5,createJar,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-55.java,4,createJar|getYarnDeployDependencies|launchApp|main,130|133|176|177|277|318,createJar|getYarnDeployDependencies|launchApp|main,bufferedreader|fileinputstream|getresourceasstream|outputstream|processbuilder|start,acquire|factory|new|twr_decl,high
56,D,6,5,visitFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-56.java,4,createJar|getYarnDeployDependencies|launchApp|main,130|135|176|177|277|318,createJar|getYarnDeployDependencies|launchApp|main,bufferedreader|fileinputstream|getinputstream|getresourceasstream|outputstream|processbuilder,factory|new|twr_decl,high
451,C,6,5,readContent,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-451.java,3,copy|readContent|writeContent,112|132|134|158|160|212,copy|readContent|writeContent,bufferedinputstream|bufferedreader|bufferedwriter|inputstreamreader|outputstreamwriter,new,high
823,C,6,5,getWmicResult,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-823.java,2,getFullWmicResult|getWmicResult,174|175|178|186|218|219,getFullWmicResult|getWmicResult,bufferedwriter|getinputstream|processbuilder|start,acquire|factory|new,high
61,C,5,4,updateSSLKeystore,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-61.java,5,doInTransactionWithoutResult|getEnvironmentProperty|templateDetailsInitIfNotExist|updateSSLKeystore|writeKeyToDisk,348|455|534|655|853,doInTransactionWithoutResult|getEnvironmentProperty|templateDetailsInitIfNotExist|updateSSLKeystore|writeKeyToDisk,executequery|fileinputstream|fileoutputstream,factory|new,high|medium
177,C,5,4,loadFromInputStream,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-177.java,5,load|loadFromFile|loadFromInputStream|loadFromObj|saveToObj,78|87|96|108|150,load|loadFromFile|loadFromInputStream|loadFromObj|saveToObj,datainputstream|getclass|inputstream|objectinputstream|objectoutputstream,factory|line_pattern|new,high|low
1126,C,5,4,zipFileSize,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1126.java,5,execCommand|extractZipFile|unTarUsingTar|zipDoesContainDir|zipFileSize,258|322|447|608|639,execCommand|extractZipFile|unTarUsingTar|zipDoesContainDir|zipFileSize,defaultexecutor|fileoutputstream|randomaccessfile|shellcommandexecutor|zipfile,new,high
1459,C,5,4,compareFileMagic,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1459.java,5,compareFileMagic|dumpConfig|getContentHandler|getOutputWriter|process,158|191|284|498|874,compareFileMagic|dumpConfig|getContentHandler|getOutputWriter|process,bufferedreader|outputstreamwriter|printwriter,new,high
187,C,5,4,execute,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-187.java,4,execute|generateMissingQuestions|generateTemplateFile|resolveEntity,476|520|542|597|702,execute|generateMissingQuestions|generateTemplateFile|resolveEntity,bufferedoutputstream|filewriter|inputsource|inputstreamreader|outputstreamwriter,line_pattern|new,high|low
447,C,5,4,read,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-447.java,4,actualCopy|getMd5Hash|parseXML|read,131|261|288|296|494,actualCopy|getMd5Hash|parseXML|read,fileinputstream|getchannel|inputstreamreader,factory|new,high|medium
207,C,5,4,loadClass,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-207.java,3,getResourceAsStream|load|loadClass,100|110|113|138|142,getResourceAsStream|load|loadClass,bufferedreader|getresourceasstream,factory|new,high
1004,C,5,4,writeBinaryCheckpoints,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1004.java,3,sanityCheck|writeBinaryCheckpoints|writeTextualCheckpoints,175|177|179|199|214,sanityCheck|writeBinaryCheckpoints|writeTextualCheckpoints,dataoutputstream|digestoutputstream|fileinputstream|fileoutputstream|printwriter,new,high
480,C,5,4,process,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-480.java,2,process|run,114|117|158|159|165,process|run,createstatement|executequery|getconnection|pipedreader|pipedwriter,factory|new,high|medium
536,C,5,4,save,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-536.java,2,load|save,50|52|61|72|77,load|save,bufferedinputstream|gzipinputstream|gzipoutputstream|objectinputstream|objectoutputstream,new,high
854,C,5,4,getConvertedValue,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-854.java,2,getConvertedValue|renderImage,131|163|172|179|185,getConvertedValue|renderImage,boundedinputstream|fileinputstream|getinputstream|openconnection|writeattribute,factory|line_pattern|new,high|low|medium
651,C,4,3,cacheThumbnail,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-651.java,4,cacheThumbnail|copyOutgoingMedia|getLength|writeInternalMedia,118|174|295|602,cacheThumbnail|copyOutgoingMedia|getLength|writeInternalMedia,countinginputstream|fileoutputstream,new,high
1037,D,4,3,handleDownload,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1037.java,4,criticalNotification|handleRequest|serveStaticResources|writeAjaxPage,342|677|926|1438,criticalNotification|handleRequest|serveStaticResources|writeAjaxPage,bufferedwriter|getresourceasstream|printwriter,factory|new,high
548,D,4,3,BundleSpiProvidersLoader.call,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-548.java,3,call|getPackageResources|getResourceBundle,220|321|328|401,call|getPackageResources|getResourceBundle,bufferedreader|getresourceasstream|jarinputstream|propertyresourcebundle,factory|line_pattern|new,high|low
635,D,4,3,build,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-635.java,3,fig(Path fi|ing |th na,1466|2046|2503|2511,fig(Path fi|ing |th na,bufferedreader|outputstream|outputstreamwriter,line_pattern,low
1174,C,4,3,parseResponse,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1174.java,3,parseResponse|throwIOExceptionOnErrorResponse|verifyFileSystemConfiguration,317|351|389|392,parseResponse|throwIOExceptionOnErrorResponse|verifyFileSystemConfiguration,geterrorstream|getinputstream|inputstreamreader|url,factory|line_pattern|new,high|low|medium
3,C,4,3,readFromFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-3.java,2,init|readFromFile,53|153|154|155,init|readFromFile,bufferedreader|fileinputstream|inputstreamreader|randomaccessfile,new,high
454,C,4,3,readDefaultMarkdown,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-454.java,2,readDefaultMarkdown|readMarkdown,179|180|213|214,readDefaultMarkdown|readMarkdown,fileinputstream|getresourcestream|inputstreamreader,factory|new,high
930,C,4,3,redirectOutput,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-930.java,2,redirectOutput|run,79|85|150|151,redirectOutput|run,bufferedreader|getinputstream|processbuilder|start,acquire|factory|new,high
964,C,4,3,getModifiedLogs,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-964.java,2,appendToFile|getModifiedLogs,64|66|405|406,appendToFile|getModifiedLogs,bufferedreader|bufferedwriter|filewriter|openconnection,factory|new,high|medium
1011,C,4,3,visualize,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1011.java,2,shutdown|visualize,88|89|333|334,shutdown|visualize,bufferedwriter|filewriter,new,high
1508,C,4,3,addBootFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1508.java,2,addBootFile|write,196|218|279|283,addBootFile|write,dataoutputstream|fileinputstream|fileoutputstream,new,high
1529,C,4,3,concat,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1529.java,2,analyse|concat,64|303|308|310,analyse|concat,bufferedreader|fileinputstream|fileoutputstream|sequenceinputstream,new,high
202,C,3,2,open,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-202.java,3,closeAsync|open|readAsync,79|95|197,closeAsync|open|readAsync,getpayload|newcompletablefuture,factory|new,high
234,C,3,2,getSecondaryServicePrincipalClientID,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-234.java,3,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret,1307|1323|1422,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret,fileinputstream|processbuilder,new,high
373,C,3,2,writeExtraDdl,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-373.java,3,createDdlWriter|writeExtraDdl|writeMigrationXml,266|447|461,createDdlWriter|writeExtraDdl|writeMigrationXml,filewriter|migrationxmlwriter|platformddlwriter,new,high
413,C,3,2,create,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-413.java,3,activate|create|mapFile,172|191|277,activate|create|mapFile,randomaccessfile,new,high
499,C,3,2,getFailingLine,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-499.java,3,createPrintableStackTrace|getFailingLine|printScriptStackTrace,109|199|261,createPrintableStackTrace|getFailingLine|printScriptStackTrace,bufferedreader|printwriter,new,high
560,C,3,2,write,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-560.java,3,init|write|writeFile,301|318|420,init|write|writeFile,dataoutputstream|fileoutputstream,new,high
780,C,3,2,stopLoop,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-780.java,3,releaseFifoOut|run|stopLoop,250|262|275,releaseFifoOut|run|stopLoop,fileinputstream|fileoutputstream,new,high
919,C,3,2,readString,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-919.java,3,copyToFile|readBytes|readString,68|81|99,copyToFile|readBytes|readString,bufferedreader|openstream,factory|new,high
920,C,3,2,write,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-920.java,3,getClassPath|read|write,324|383|414,getClassPath|read|write,bufferedreader|jarfile|printwriter,new,high
1106,D,3,2,createExcludeFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1106.java,3,eateExcludeFile(S|stAppSubmitWithSubmissionPreProcessor()|stRegisterNMWithDiffUnits(),1080|2585|2741,eateExcludeFile(S|stAppSubmitWithSubmissionPreProcessor()|stRegisterNMWithDiffUnits(),bufferedwriter|fileoutputstream|getclassloader,line_pattern,low
220,C,3,2,loadBytesRaw,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-220.java,2,copyFile|loadBytesRaw,2434|2480|2482,copyFile|loadBytesRaw,bufferedinputstream|bufferedoutputstream|fileinputstream,new,high
816,C,3,2,readObject,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-816.java,2,getOutputStream|readObject,588|754|758,getOutputStream|readObject,deferredfileoutputstream|fileinputstream|getoutputstream,factory|new,high
856,C,3,2,makeJar,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-856.java,2,makeJar|makeJvmConfig,119|139|140,makeJar|makeJvmConfig,fileoutputstream|filewriter|getclass,factory|new,high
1047,C,3,2,readAll,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1047.java,2,readAll|utf8ByteBuffer,349|406|416,readAll|utf8ByteBuffer,bufferedreader|encode|inputstreamreader,factory|new,high
44,C,2,1,load,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-44.java,2,load|loadTemplateFile,130|162,load|loadTemplateFile,antlrinputstream|openstream,factory|new,high
116,C,2,1,getCompressedSize,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-116.java,2,getCompressedSize|getIterator,85|163,getCompressedSize|getIterator,datainputstream|dataoutputstream,new,high
295,D,2,1,extractEntry,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-295.java,2,extract|getContent,43|168,extract|getContent,fileinputstream|getinputstream,line_pattern|new,high|low
306,C,2,1,partialContentResponse,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-306.java,2,fullContentResponse|partialContentResponse,288|323,fullContentResponse|partialContentResponse,blobcontainer,factory,high
307,C,2,1,partialContentResponse,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-307.java,2,fullContentResponse|partialContentResponse,301|336,fullContentResponse|partialContentResponse,blobcontainer,factory,high
484,C,2,1,uploadJobResources,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-484.java,2,loadJarFromInputStream|uploadJobResources,186|245,loadJarFromInputStream|uploadJobResources,geturl|jarinputstream,factory|new,high
495,D,2,1,getPersistence,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-495.java,2,loadTimeStampCache|saveTimeStampCache,201|225,loadTimeStampCache|saveTimeStampCache,objectinputstream|objectoutputstream,new,high
504,C,2,1,getClientDetail,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-504.java,2,getClientDetail|makeGetter,230|966,getClientDetail|makeGetter,binaryblobwriter|dataoutputstream,new,high
505,D,2,1,ClientGet,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-505.java,2,getClientDetail|makeGetter,232|965,getClientDetail|makeGetter,binaryblobwriter|dataoutputstream,new,high
632,C,2,1,load,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-632.java,2,load|parseInputStream,64|185,load|parseInputStream,bufferedreader|fileinputstream,new,high
634,C,2,1,parseConfig,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-634.java,2,openSource|parseConfig,222|1009,openSource|parseConfig,bufferedreader,new,high
638,C,2,1,compile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-638.java,2,compile|writeZone,361|477,compile|writeZone,bufferedreader|fileinputstream,new,high
642,C,2,1,save,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-642.java,2,readHistory|save,50|78,readHistory|save,objectinputstream|objectoutputstream,new,high
644,C,2,1,readFileRaw,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-644.java,2,readFileRaw|writeFile,289|300,readFileRaw|writeFile,fileinputstream|fileoutputstream,new,high
706,C,2,1,readBlacklist,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-706.java,2,readBlacklist|writeExamples,52|96,readBlacklist|writeExamples,bufferedreader|bufferedwriter,new,high
739,D,2,1,getBytesFromFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-739.java,2,onStart|processFile,129|303,onStart|processFile,batchmessagereader|getconnection,factory|new,high|medium
768,D,2,1,checkin,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-768.java,2,init|loadIfcSchema,69|84,init|loadIfcSchema,derivedreader|fileoutputstream,new,high
782,D,2,1,saveToFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-782.java,2,importProject|untar,159|167,importProject|untar,gzipinputstream|tararchiveinputstream,new,high
845,C,2,1,cacheBytecode,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-845.java,2,cacheBytecode|getBytecode,47|91,cacheBytecode|getBytecode,fileinputstream|fileoutputstream,new,high
895,D,2,1,importKFF,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-895.java,2,e kffDir)|es c,159|211,e kffDir)|es c,bufferedreader,line_pattern,low
940,D,2,1,get,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-940.java,2,getSession|payloadToInputStream,418|500,getSession|payloadToInputStream,bufferedinputstream|getsession,factory|new,high|medium
942,C,2,1,sendFileToRemoteDirectory,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-942.java,2,handleMessageInternal|sendFileToRemoteDirectory,114|184,handleMessageInternal|sendFileToRemoteDirectory,fileinputstream|getsession,factory|new,high|medium
986,C,2,1,cacheGameProperties,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-986.java,2,cacheGameProperties|loadCachedGamePropertiesInto,49|70,cacheGameProperties|loadCachedGamePropertiesInto,objectinputstream|objectoutputstream,new,high
1021,C,2,1,read,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1021.java,2,args|read,56|65,args|read,filereader|printwriter,new,high
1032,C,2,1,parse,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1032.java,2,getAnnexBFrameHeader|parse,1062|1884,getAnnexBFrameHeader|parse,getinputstream,factory,high
1033,C,2,1,testOnFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1033.java,2,convertToCSVfile|testOnFile,201|501,convertToCSVfile|testOnFile,bufferedreader|csvwriter,new,high
1074,C,2,1,toXML,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1074.java,2,fromXML|toXML,108|268,fromXML|toXML,xstream,new,high
1080,C,2,1,load,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1080.java,2,load|save,338|346,load|save,bufferedreader|bufferedwriter,new,high
1081,C,2,1,save,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1081.java,2,load|save,338|346,load|save,bufferedreader|bufferedwriter,new,high
1085,C,2,1,isKali,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1085.java,2,getManifest|isKali,1037|1129,getManifest|isKali,fileinputstream|manifest,line_pattern|new,high|low
1110,C,2,1,serialize,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1110.java,2,deserialize|serialize,84|101,deserialize|serialize,datainputstream|dataoutputstream,new,high
1263,D,2,1,loadExistingFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1263.java,2,getFileWriter|trimLastLine,476|491,getFileWriter|trimLastLine,printwriter|randomaccessfile,new,high
1341,C,2,1,saveDgmInfo,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1341.java,2,loadDgmInfo|saveDgmInfo,129|179,loadDgmInfo|saveDgmInfo,dataoutputstream|getresourceasstream,factory|new,high
1510,C,2,1,read,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1510.java,2,read|write,38|62,read|write,datainputstream|dataoutputstream,new,high
1517,D,2,1,createTarGzOfDirectory,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1517.java,2,addFileToTarGz|unTarOneFile,130|212,addFileToTarGz|unTarOneFile,fileinputstream|gzipcompressorinputstream,new,high
